Time,PacketsReceived,Distance
24.5037,233,34.5037
24.6037,234,34.6037
24.7037,235,34.7037
24.8037,236,34.8037
24.9037,237,34.9037
25.0037,238,35.0037
25.1037,239,35.1037
25.2037,240,35.2037
25.3037,241,35.3037
25.4037,242,35.4037
25.5037,243,35.5037
25.6037,244,35.6037
25.7037,245,35.7037
25.8037,246,35.8037
25.9037,247,35.9037
26.0037,248,36.0037
26.1037,249,36.1037
26.2037,250,36.2037
26.3037,251,36.3037
26.4037,252,36.4037
26.5037,253,36.5037
26.6037,254,36.6037
26.7037,255,36.7037
26.8037,256,36.8037
26.9037,257,36.9037
27.0037,258,37.0037
27.1037,259,37.1037
27.2037,260,37.2037
27.3037,261,37.3037
27.4037,262,37.4037
27.5037,263,37.5037
27.6037,264,37.6037
27.7037,265,37.7037
27.8037,266,37.8037
27.9037,267,37.9037
28.0037,268,38.0037
28.1037,269,38.1037
28.2037,270,38.2037
28.3037,271,38.3037
28.4037,272,38.4037
28.5037,273,38.5037
28.6037,274,38.6037
28.7037,275,38.7037
28.8037,276,38.8037
28.9037,277,38.9037
29.0037,278,39.0037
29.1037,279,39.1037
29.2037,280,39.2037
29.3037,281,39.3037
29.4037,282,39.4037
29.5037,283,39.5037
29.6037,284,39.6037
29.7037,285,39.7037
29.8037,286,39.8037
29.9037,287,39.9037
30.0037,288,40.0037
30.1037,289,40.1037
30.2037,290,40.2037
30.3037,291,40.3037
30.4037,292,40.4037
30.5037,293,40.5037
30.6037,294,40.6037
30.7037,295,40.7037
30.8037,296,40.8037
30.9037,297,40.9037
31.0037,298,41.0037
31.1037,299,41.1037
31.2037,300,41.2037
31.3037,301,41.3037
31.4037,302,41.4037
31.5037,303,41.5037
31.6037,304,41.6037
31.7037,305,41.7037
31.8037,306,41.8037
31.9037,307,41.9037
32.0037,308,42.0037
32.1037,309,42.1037
32.2037,310,42.2037
32.3037,311,42.3037
32.4037,312,42.4037
32.5037,313,42.5037
32.6037,314,42.6037
32.7037,315,42.7037
32.8037,316,42.8037
32.9037,317,42.9037
33.0037,318,43.0037
33.1037,319,43.1037
33.2037,320,43.2037
33.3037,321,43.3037
33.4037,322,43.4037
33.5037,323,43.5037
33.6037,324,43.6037
33.7037,325,43.7037
33.8037,326,43.8037
33.9037,327,43.9037
34.0037,328,44.0037
34.1037,329,44.1037
34.2037,330,44.2037
34.3037,331,44.3037
34.4037,332,44.4037
34.5037,333,44.5037
34.6037,334,44.6037
34.7037,335,44.7037
34.8037,336,44.8037
34.9037,337,44.9037
35.0037,338,45.0037
35.1037,339,45.1037
35.2037,340,45.2037
35.3037,341,45.3037
35.4037,342,45.4037
35.5037,343,45.5037
35.6037,344,45.6037
35.7037,345,45.7037
35.8037,346,45.8037
35.9037,347,45.9037
36.0037,348,46.0037
36.1037,349,46.1037
36.2037,350,46.2037
36.3037,351,46.3037
36.4037,352,46.4037
36.5037,353,46.5037
36.6037,354,46.6037
36.7037,355,46.7037
36.8037,356,46.8037
36.9037,357,46.9037
37.0037,358,47.0037
37.1037,359,47.1037
37.2037,360,47.2037
37.3037,361,47.3037
37.4037,362,47.4037
37.5037,363,47.5037
37.6037,364,47.6037
37.7037,365,47.7037
37.8037,366,47.8037
37.9037,367,47.9037
38.0037,368,48.0037
38.2037,369,48.2037
38.3037,370,48.3037
38.5037,371,48.5037
38.6037,372,48.6037
38.7037,373,48.7037
38.8037,374,48.8037
38.9037,375,48.9037
39.0037,376,49.0037
39.1037,377,49.1037
39.2037,378,49.2037
39.3037,379,49.3037
39.4037,380,49.4037
39.5037,381,49.5037
39.6037,382,49.6037
39.7037,383,49.7037
39.8037,384,49.8037
39.9037,385,49.9037
40.0037,386,50.0037
40.2037,387,50.2037
40.3037,388,50.3037
40.4037,389,50.4037
40.5037,390,50.5037
40.6037,391,50.6037
40.7037,392,50.7037
40.8037,393,50.8037
40.9037,394,50.9037
41.0037,395,51.0037
41.1037,396,51.1037
41.2037,397,51.2037
41.3037,398,51.3037
41.4037,399,51.4037
41.5037,400,51.5037
41.6037,401,51.6037
41.7037,402,51.7037
41.8037,403,51.8037
41.9037,404,51.9037
42.0037,405,52.0037
42.1037,406,52.1037
42.2037,407,52.2037
42.3037,408,52.3037
42.4037,409,52.4037
42.5037,410,52.5037
42.6037,411,52.6037
42.7037,412,52.7037
42.8037,413,52.8037
42.9037,414,52.9037
43.0037,415,53.0037
43.1037,416,53.1037
43.2037,417,53.2037
43.3037,418,53.3037
43.4037,419,53.4037
43.5037,420,53.5037
43.6037,421,53.6037
43.7037,422,53.7037
43.8037,423,53.8037
43.9037,424,53.9037
44.0037,425,54.0037
44.1037,426,54.1037
44.2037,427,54.2037
44.3037,428,54.3037
44.4037,429,54.4037
44.6037,430,54.6037
44.7037,431,54.7037
44.8037,432,54.8037
44.9037,433,54.9037
45.0037,434,55.0037
45.1037,435,55.1037
45.2037,436,55.2037
45.3037,437,55.3037
45.4037,438,55.4037
45.5037,439,55.5037
45.6037,440,55.6037
45.7037,441,55.7037
45.8037,442,55.8037
45.9037,443,55.9037
46.0037,444,56.0037
46.1037,445,56.1037
46.2037,446,56.2037
46.3037,447,56.3037
46.4037,448,56.4037
46.5037,449,56.5037
46.6037,450,56.6037
46.7037,451,56.7037
46.8037,452,56.8037
46.9037,453,56.9037
47.0037,454,57.0037
47.1037,455,57.1037
47.2037,456,57.2037
47.3037,457,57.3037
47.4037,458,57.4037
47.5037,459,57.5037
47.6037,460,57.6037
47.7037,461,57.7037
47.8037,462,57.8037
47.9037,463,57.9037
48.0037,464,58.0037
48.1037,465,58.1037
48.2037,466,58.2037
48.3037,467,58.3037
48.4037,468,58.4037
48.5037,469,58.5037
48.6037,470,58.6037
48.7037,471,58.7037
48.8037,472,58.8037
48.9037,473,58.9037
49.0037,474,59.0037
49.1037,475,59.1037
49.2037,476,59.2037
49.3037,477,59.3037
49.4037,478,59.4037
49.5037,479,59.5037
49.6037,480,59.6037
49.7037,481,59.7037
49.8037,482,59.8037
49.9037,483,59.9037
50.0037,484,60.0037
50.1037,485,60.1037
50.2037,486,60.2037
50.3037,487,60.3037
50.4037,488,60.4037
50.5037,489,60.5037
50.6037,490,60.6037
50.7037,491,60.7037
50.9037,492,60.9037
51.0037,493,61.0037
51.1037,494,61.1037
51.2037,495,61.2037
51.3037,496,61.3037
51.4037,497,61.4037
51.5037,498,61.5037
51.6037,499,61.6037
51.7037,500,61.7037
51.8037,501,61.8037
51.9037,502,61.9037
52.0037,503,62.0037
52.1037,504,62.1037
52.2037,505,62.2037
52.3037,506,62.3037
52.4037,507,62.4037
52.5037,508,62.5037
52.6037,509,62.6037
52.7037,510,62.7037
52.8037,511,62.8037
52.9037,512,62.9037
53.0037,513,63.0037
53.1037,514,63.1037
53.2037,515,63.2037
53.3037,516,63.3037
53.4037,517,63.4037
53.5037,518,63.5037
53.6037,519,63.6037
53.7037,520,63.7037
53.8037,521,63.8037
53.9037,522,63.9037
54.0037,523,64.0037
54.1037,524,64.1037
54.2037,525,64.2037
54.3037,526,64.3037
54.4037,527,64.4037
54.5037,528,64.5037
54.6037,529,64.6037
